destination,country,avg_daily_budget_usd,warm_weather_score,tourist_crowd_score,hiking_score,beach_score,museum_score,nightlife_score,family_score,luxury_score,safety_score,description,travel_style
Queenstown,New Zealand,120,6,7,10,3,4,6,6,7,9,"Mountain town known for hiking, adventure sports, lakes, and outdoor activities.",Adventure
Patagonia,Argentina/Chile,95,4,5,10,1,3,2,4,4,8,"Remote region famous for trekking, glaciers, mountains, and national parks.",Adventure
Banff,Canada,140,4,8,10,2,3,3,7,6,9,"Canadian Rockies destination with hiking, lakes, wildlife, skiing, and scenic drives.",Adventure
Interlaken,Switzerland,180,5,8,9,2,4,5,7,8,10,"Alpine destination for hiking, paragliding, lakes, and mountain excursions.",Adventure
Pokhara,Nepal,35,7,6,10,1,4,4,5,3,7,"Gateway to Himalayan trekking with lakes, mountain views, and adventure activities.",Adventure
Bali,Indonesia,65,10,8,5,10,4,7,7,7,8,"Warm island destination with beaches, spas, yoga retreats, resorts, and rice terraces.",Relaxation
Maldives,Maldives,250,10,6,1,10,2,3,7,10,8,"Tropical island destination with beaches, resorts, snorkeling, and quiet relaxation.",Relaxation
Seychelles,Seychelles,180,10,5,4,10,3,3,7,8,8,"Island destination with quiet beaches, nature reserves, resorts, and calm atmosphere.",Relaxation
Santorini,Greece,160,9,9,4,8,5,6,6,8,9,"Greek island known for sunsets, sea views, boutique hotels, and relaxing holidays.",Relaxation
Phuket,Thailand,70,10,8,3,10,3,8,7,7,7,"Beach destination with resorts, islands, spas, warm weather, and relaxed activities.",Relaxation
Rome,Italy,130,8,9,2,2,10,7,7,7,8,"Historic city with ancient ruins, museums, churches, food culture, and architecture.",Culture
Kyoto,Japan,120,7,8,4,1,10,5,7,7,10,"Cultural city with temples, gardens, traditional streets, tea houses, and history.",Culture
Cairo,Egypt,55,9,8,1,1,10,5,6,5,6,"Historic city with pyramids, museums, Islamic architecture, markets, and ancient culture.",Culture
Istanbul,Turkey,75,7,8,2,2,9,7,7,6,7,"City connecting Europe and Asia with mosques, palaces, bazaars, food, and history.",Culture
Paris,France,170,6,10,1,1,10,8,7,9,8,"Major cultural capital with museums, architecture, food, fashion, and historic neighborhoods.",Culture
Hanoi,Vietnam,35,8,7,3,2,7,6,6,3,8,"Affordable city with street food, history, local culture, and low travel costs.",Budget
Chiang Mai,Thailand,40,9,6,6,1,6,5,6,4,8,"Affordable northern Thai city with temples, markets, nature, and budget accommodation.",Budget
Krakow,Poland,60,5,7,3,1,8,7,7,4,9,"Affordable European city with history, food, nightlife, and cultural attractions.",Budget
La Paz,Bolivia,35,5,4,7,1,6,5,4,2,6,"Low-cost destination with markets, mountain scenery, local culture, and nearby adventure.",Budget
Tbilisi,Georgia,45,7,5,5,1,6,6,6,4,8,"Affordable city with food, wine culture, architecture, and access to mountain trips.",Budget
Dubai,United Arab Emirates,220,10,8,2,7,6,8,8,10,9,"Luxury city with premium hotels, shopping, fine dining, beaches, and modern attractions.",Luxury
Monaco,Monaco,300,8,8,2,6,5,8,5,10,10,"High-end destination with luxury hotels, yachts, casinos, fine dining, and exclusivity.",Luxury
St. Moritz,Switzerland,280,3,7,6,1,4,6,6,10,10,"Luxury alpine resort known for skiing, premium hotels, fine dining, and mountain scenery.",Luxury
Bora Bora,French Polynesia,350,10,6,3,10,2,3,6,10,9,"Luxury island destination with overwater villas, clear lagoons, beaches, and honeymoon resorts.",Luxury
Milan,Italy,190,7,8,1,1,8,8,6,9,8,"Fashion and design city with luxury shopping, fine dining, hotels, and cultural sites.",Luxury
Orlando,United States,180,9,10,1,4,5,5,10,6,8,"Family destination with theme parks, resorts, entertainment, and child-friendly activities.",Family
Singapore,Singapore,150,10,8,3,4,8,7,9,8,10,"Safe family-friendly city with attractions, gardens, museums, food, and efficient transport.",Family
Copenhagen,Denmark,170,5,7,2,3,8,6,9,7,10,"Safe city with parks, museums, cycling, family attractions, and relaxed urban planning.",Family
Gold Coast,Australia,140,8,8,4,9,4,6,9,6,9,"Family-friendly coastal city with beaches, theme parks, wildlife parks, and outdoor activities.",Family
Tokyo,Japan,160,6,9,2,2,9,8,9,8,10,"Safe city with museums, theme parks, food, transport, shopping, and family attractions.",Family
Marrakesh,Morocco,55,9,7,3,1,8,6,5,4,7,"Marrakesh is a culture-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Culture
Lisbon,Portugal,95,8,8,3,5,8,7,7,6,8,"Lisbon is a culture-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Culture
Cusco,Peru,50,6,7,8,1,8,5,5,4,7,"Cusco is a culture-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Culture
Cape Town,South Africa,90,8,7,8,8,6,7,6,6,6,"Cape Town is a adventure-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Adventure
Reykjavik,Iceland,190,3,7,8,1,6,6,6,7,9,"Reykjavik is a adventure-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Adventure
Zermatt,Switzerland,220,3,7,10,1,3,4,6,9,10,"Zermatt is a adventure-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Adventure
Da Nang,Vietnam,45,9,6,4,9,4,5,7,4,8,"Da Nang is a budget-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Budget
Budapest,Hungary,70,6,7,2,1,8,8,7,5,8,"Budapest is a budget-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Budget
Sofia,Bulgaria,50,6,4,4,1,6,5,6,3,8,"Sofia is a budget-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Budget
Zanzibar,Tanzania,85,10,6,2,10,4,4,6,6,7,"Zanzibar is a relaxation-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Relaxation
Mauritius,Mauritius,140,10,6,4,10,4,4,8,8,9,"Mauritius is a relaxation-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Relaxation
Tulum,Mexico,110,10,8,3,9,5,6,6,7,7,"Tulum is a relaxation-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Relaxation
Nice,France,170,8,8,3,8,7,7,6,9,8,"Nice is a luxury-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Luxury
Doha,Qatar,200,10,6,1,5,7,6,8,9,9,"Doha is a luxury-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Luxury
Aspen,United States,300,3,7,7,1,4,6,6,10,9,"Aspen is a luxury-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Luxury
Barcelona,Spain,130,8,9,3,7,9,8,8,7,8,"Barcelona is a family-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Family
San Diego,United States,170,8,7,3,9,6,6,9,7,8,"San Diego is a family-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Family
Vancouver,Canada,150,5,7,7,5,7,6,9,7,9,"Vancouver is a family-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Family
Athens,Greece,100,9,8,3,5,9,7,7,6,8,"Athens is a culture-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Culture
Seoul,South Korea,110,6,8,3,2,8,8,8,7,9,"Seoul is a culture-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Culture
Siem Reap,Cambodia,35,9,7,2,1,9,4,5,3,7,"Siem Reap is a budget-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Budget
Luang Prabang,Laos,40,8,5,5,1,7,3,5,3,8,"Luang Prabang is a budget-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Budget
Madeira,Portugal,100,7,6,9,6,4,4,7,6,9,"Madeira is a adventure-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Adventure
Moab,United States,120,8,7,10,1,2,3,6,5,8,"Moab is a adventure-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Adventure
Fiji,Fiji,160,10,5,3,10,3,3,7,8,8,"Fiji is a relaxation-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Relaxation
Amalfi Coast,Italy,220,8,9,4,8,6,6,6,9,8,"Amalfi Coast is a luxury-oriented destination with budget score, activities, safety, and travel experience reflected in the numeric features.",Luxury
